"NTD ID","Agency Name","City","State","Organization Type","Reporter Type","Agency VOMS","Mode Name","Mode","TOS","Mode VOMS","UACE Code","UZA Name","Primary UZA Population","Weblink","Weblink Justification","Waived","Certification Flag","Date Validated","Modified Date"
"00001","King County","Seattle","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2,417","Ferryboat","FB","DO","2","80389","Seattle--Tacoma, WA","3,544,011","https://metro.kingcounty.gov/GTFS/google_transit.zip",,,"true","2025 May 27","2026 April 22"
"00001","King County","Seattle","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2,417","Bus","MB","DO","749","80389","Seattle--Tacoma, WA","3,544,011","https://metro.kingcounty.gov/GTFS/google_transit.zip",,,"true","2025 May 27","2026 April 22"
"00001","King County","Seattle","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2,417","Bus","MB","PT","58","80389","Seattle--Tacoma, WA","3,544,011","https://metro.kingcounty.gov/GTFS/google_transit.zip",,,"true","2025 May 27","2026 April 22"
"00001","King County","Seattle","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2,417","Streetcar Rail","SR","DO","10","80389","Seattle--Tacoma, WA","3,544,011","https://metro.kingcounty.gov/GTFS/google_transit.zip",,,"true","2025 May 27","2026 April 22"
"00001","King County","Seattle","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2,417","Trolleybus","TB","DO","92","80389","Seattle--Tacoma, WA","3,544,011","https://metro.kingcounty.gov/GTFS/google_transit.zip",,,"true","2025 May 27","2026 April 22"
"00002","Spokane Transit Authority","Spokane","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","318","Bus","MB","DO","134","83764","Spokane, WA","447,279","https://www.spokanetransit.com/gtfs",,,"true","2025 May 19","2026 April 22"
"00003","Pierce County Transportation Benefit Area Authority","Lakewood","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","434","Bus","MB","DO","111","80389","Seattle--Tacoma, WA","3,544,011","https://prod.piercetransit.org/GTFS/gtfs.zip",,,"true","2025 May 13","2026 April 22"
"00004","Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","Tribe","Reduced Reporter","5","Ferryboat","FB","DO","1","00053","Washington Non-UZA","1,895,776","https://data.trilliumtransit.com/gtfs/ccttransit-wa-us/ccttransit-wa-us.zip",,,"true","2026 February 12","2026 February 04"
"00004","Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","Tribe","Reduced Reporter","5","Bus","MB","DO","4","00053","Washington Non-UZA","1,895,776","https://data.trilliumtransit.com/gtfs/ccttransit-wa-us/ccttransit-wa-us.zip",,,"true","2026 February 12","2026 February 04"
"00005","City of Everett","Everett","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","49","Bus","MB","DO","30","80389","Seattle--Tacoma, WA","3,544,011","https://everett.mapstrat.com/current/google_transit.zip",,,"true","2025 May 29","2026 April 22"
"00006","City of Yakima","Yakima","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","40","Commuter Bus","CB","PT","2","97507","Yakima, WA","133,145","https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/13648/yakima_wa_rt11_gtfs.zip",,,"true","2025 July 02","2025 December 19"
"00006","City of Yakima","Yakima","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","40","Bus","MB","DO","16","97507","Yakima, WA","133,145","https://yakima.connexionz.net/rtt/public/utility/gtfs.aspx",,,"true","2025 July 01","2025 December 19"
"00007","Lane Transit District","Eugene","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","133","Bus","MB","DO","53","28117","Eugene, OR","270,179","https://feed.ltd.org/TMGTFSRealTimeWebService/GTFS/google_transit.zip",,,"true","2026 March 13","2026 March 09"
"00007","Lane Transit District","Eugene","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","133","Bus","MB","PT","3","28117","Eugene, OR","270,179","https://oregon-gtfs.trilliumtransit.com/gtfs_data/diamondexpress-or-us/diamondexpress-or-us.zip",,,"true","2026 March 13","2026 March 09"
"00007","Lane Transit District","Eugene","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","133","Bus","MB","PT","3","28117","Eugene, OR","270,179","https://oregon-gtfs.trilliumtransit.com/gtfs_data/rhodyexpress-or-us/rhodyexpress-or-us.zip",,,"true","2026 March 13","2026 March 09"
"00007","Lane Transit District","Eugene","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","133","Bus Rapid Transit","RB","DO","13","28117","Eugene, OR","270,179","https://feed.ltd.org/TMGTFSRealTimeWebService/GTFS/google_transit.zip",,,"true","2026 March 13","2026 March 09"
"00008","Tri-County Metropolitan Transportation District of Oregon","Portland","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","851","Light Rail","LR","DO","100","71317","Portland, OR--WA","2,104,238","https://developer.trimet.org/schedule/gtfs.zip",,,"true","2025 November 20","2025 October 09"
"00008","Tri-County Metropolitan Transportation District of Oregon","Portland","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","851","Bus","MB","DO","485","71317","Portland, OR--WA","2,104,238","https://developer.trimet.org/schedule/gtfs.zip",,,"true","2025 November 20","2025 October 09"
"00008","Tri-County Metropolitan Transportation District of Oregon","Portland","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","851","Hybrid Rail","YR","PT","3","71317","Portland, OR--WA","2,104,238","https://developer.trimet.org/schedule/gtfs.zip",,,"true","2025 November 20","2025 October 09"
"00010","Klamath Tribes","Chiloquin","OR","Tribe","Reduced Reporter","14","Commuter Bus","CB","DO","3","00041","Oregon Non-UZA","1,553,447","https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/11851/TheKlamathTribesGTFS.zip",,,,"2025 April 28","2024 June 07"
"00011","Valley Regional Transit","Meridian","ID","Independent Public Agency or Authority of Transit Service","Full Reporter","80","Bus","MB","PT","42","08785","Boise City, ID","433,180","https://www.valleyregionaltransit.org/GTFS/vrt_transit1.zip",,,"true","2025 April 24","2026 April 22"
"00012","Municipality of Anchorage","Anchorage","AK","City, County or Local Government Unit or Department of Transportation","Full Reporter","187","Bus","MB","DO","41","02305","Anchorage, AK","249,252","https://gtfs.muni.org/People_Mover.gtfs.zip",,,"true","2025 May 14","2024 May 03"
"00014","Sitka Tribe of Alaska","Sitka","AK","Tribe","Reduced Reporter","3","Bus","MB","DO","3","00002","Alaska Non-UZA","359,299",,"This agency provided the GTFS as a zip file instead of a public weblink, providing justification for why it could not be hosted. Please contact the agency if you need to access this file.",,"true","2025 May 29","2025 May 28"
"00016","City of Longview","Longview","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","24","Bus","MB","DO","14","51283","Longview, WA--OR","69,841","https://data.trilliumtransit.com/gtfs/rivercitiestransit-wa-us/rivercitiestransit-wa-us.zip",,,"true","2025 April 25","2026 April 28"
"00018","Ben Franklin Transit","Richland","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","309","Bus","MB","DO","57","44479","Kennewick--Richland--Pasco, WA","255,401","https://myride.bft.org/Static/google_transit.zip",,,"true","2025 May 12","2026 April 22"
"00019","Intercity Transit","Olympia","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","248","Commuter Bus","CB","DO","8","65242","Olympia--Lacey, WA","208,157","https://its.rideralerts.com/InfoPoint/gtfs-zip.ashx",,,"true","2026 April 30","2024 May 08"
